,fix,anomaly,contexts
199,le,Ã…le,"[Age               5160
Error               70
Material          seed
Taxa               NaN
d13C               0.4
Method             NaN
Long           9.21762
Lat            56.8798
LocAccuracy          2
Period             NaN
SiteID             NaN
SiteName          Ã…le
Country        Denmark
Province           NaN
Continent       Europe
Source           RADON
Reference          NaN
Region         Unknown
Name: K-5303, dtype: object, Age                    4870
Error                    70
Material              shell
Taxa                    NaN
d13C                    0.5
Method                  NaN
Long                9.22176
Lat                 56.8776
LocAccuracy               2
Period                  NaN
SiteID                  NaN
SiteName          Ã…le nord
Country             Denmark
Province                NaN
Continent            Europe
Source                RADON
Reference      AUD 1996 292
Region              Unknown
Name: K-6541, dtype: object, Age                    5850
Error                    75
Material              shell
Taxa                    NaN
d13C                    0.3
Method                  NaN
Long                9.22176
Lat                 56.8776
LocAccuracy               2
Period                  NaN
SiteID                  NaN
SiteName          Ã…le nord
Country             Denmark
Province                NaN
Continent            Europe
Source                RADON
Reference      AUD 1998 312
Region              Unknown
Name: K-6817, dtype: object]"
200,Åmose,Ã…mose,"[Age                                5110
Error                                65
Material                  collagen bone
Taxa                                NaN
d13C                              -22.6
Method                              NaN
Long                             11.559
Lat                             55.5939
LocAccuracy                           2
Period                              NaN
SiteID                              NaN
SiteName       Spangekonge Store Ã…mose
Country                         Denmark
Province                            NaN
Continent                        Europe
Source                            RADON
Reference                  AUD 1988 215
Region                          Unknown
Name: K-5041, dtype: object, Age                                5050
Error                                65
Material                  collagen bone
Taxa                                NaN
d13C                              -20.7
Method                              NaN
Long                             11.559
Lat                             55.5939
LocAccuracy                           2
Period                              NaN
SiteID                              NaN
SiteName       Spangekonge Store Ã…mose
Country                         Denmark
Province                            NaN
Continent                        Europe
Source                            RADON
Reference                  AUD 1988 215
Region                          Unknown
Name: K-5042, dtype: object, Age                                5130
Error                                65
Material                         antler
Taxa                                NaN
d13C                              -22.9
Method                              NaN
Long                             11.559
Lat                             55.5939
LocAccuracy                           2
Period                              NaN
SiteID                              NaN
SiteName       Spangekonge Store Ã…mose
Country                         Denmark
Province                            NaN
Continent                        Europe
Source                            RADON
Reference                  AUD 1988 215
Region                          Unknown
Name: K-5043, dtype: object, Age                                5140
Error                                65
Material                  collagen bone
Taxa                                NaN
d13C                              -21.9
Method                              NaN
Long                             11.559
Lat                             55.5939
LocAccuracy                           2
Period                              NaN
SiteID                              NaN
SiteName       Spangekonge Store Ã…mose
Country                         Denmark
Province                            NaN
Continent                        Europe
Source                            RADON
Reference                  AUD 1988 215
Region                          Unknown
Name: K-5044, dtype: object]"
201,NEEDS_EXPERT,Ã…by,"[Age                    4550
Error                   100
Material       food remains
Taxa                    NaN
d13C                    NaN
Method                  NaN
Long                16.1772
Lat                 58.6635
LocAccuracy               2
Period                  NaN
SiteID                  NaN
SiteName               Ã…by
Country              Sweden
Province                NaN
Continent            Europe
Source                RADON
Reference               NaN
Region              Unknown
Name: UA-7459, dtype: object]"
202,Åmosen,Ã…mosen,"[Age                                                         7280
Error                                                        130
Material                                                    tree
Taxa                                                         NaN
d13C                                                           0
Method                                                       NaN
Long                                                      11.627
Lat                                                        55.55
LocAccuracy                                                    1
Period                                                       NaN
SiteID                                                       NaN
SiteName                                             Ã…mosen bog
Country                                                  Denmark
Province                                                     NaN
Continent                                                 Europe
Source                                                    CALPAL
Reference      Copenhagen datelist 10 pp.89-90 (Radiocarbon 1...
Region                                                   Unknown
Name: K-1588, dtype: object, Age                                                         7350
Error                                                        120
Material                                                    wood
Taxa                                                         NaN
d13C                                                           0
Method                                                       NaN
Long                                                      11.627
Lat                                                        55.55
LocAccuracy                                                    1
Period                                                       NaN
SiteID                                                       NaN
SiteName                                             Ã…mosen bog
Country                                                  Denmark
Province                                                     NaN
Continent                                                 Europe
Source                                    CALPAL; Vermeersch2019
Reference      Copenhagen datelist 10 pp.89-90 (Radiocarbon 1...
Region                                                   Unknown
Name: K-1589, dtype: object]"
203,Karup,Ã…rup,"[Age                        4290
Error                       100
Material          collagen bone
Taxa                        NaN
d13C                        NaN
Method                      NaN
Long                    9.42611
Lat                     56.7422
LocAccuracy                   2
Period                      NaN
SiteID                      NaN
SiteName           Vester Ã…rup
Country                 Denmark
Province                    NaN
Continent                Europe
Source                    RADON
Reference      Davidsen 1978 55
Region                  Unknown
Name: K-1930, dtype: object, Age                        4350
Error                       100
Material          collagen bone
Taxa                        NaN
d13C                        NaN
Method                      NaN
Long                    9.42611
Lat                     56.7422
LocAccuracy                   2
Period                      NaN
SiteID                      NaN
SiteName           Vester Ã…rup
Country                 Denmark
Province                    NaN
Continent                Europe
Source                    RADON
Reference      Davidsen 1978 55
Region                  Unknown
Name: K-1931, dtype: object, Age                        4100
Error                       100
Material          collagen bone
Taxa                        NaN
d13C                        NaN
Method                      NaN
Long                    9.42611
Lat                     56.7422
LocAccuracy                   2
Period                      NaN
SiteID                      NaN
SiteName           Vester Ã…rup
Country                 Denmark
Province                    NaN
Continent                Europe
Source                    RADON
Reference      Davidsen 1978 55
Region                  Unknown
Name: K-1932, dtype: object, Age                        4450
Error                       100
Material               charcoal
Taxa                        NaN
d13C                        NaN
Method                      NaN
Long                    9.42611
Lat                     56.7422
LocAccuracy                   2
Period                      NaN
SiteID                      NaN
SiteName           Vester Ã…rup
Country                 Denmark
Province                    NaN
Continent                Europe
Source                    RADON
Reference      Davidsen 1978 55
Region                  Unknown
Name: K-1982, dtype: object, Age                        4160
Error                       100
Material          collagen bone
Taxa                        NaN
d13C                        NaN
Method                      NaN
Long                    9.42611
Lat                     56.7422
LocAccuracy                   2
Period                      NaN
SiteID                      NaN
SiteName           Vester Ã…rup
Country                 Denmark
Province                    NaN
Continent                Europe
Source                    RADON
Reference      Davidsen 1978 55
Region                  Unknown
Name: K-1983, dtype: object]"
204,Osted,Ã…sted,"[Age                     5060
Error                     95
Material       collagen bone
Taxa                     NaN
d13C                   -13.8
Method                   NaN
Long                 8.98995
Lat                  56.7698
LocAccuracy                2
Period                   NaN
SiteID                   NaN
SiteName              Ã…sted
Country              Denmark
Province                 NaN
Continent             Europe
Source                 RADON
Reference       AUD 1993 281
Region               Unknown
Name: K-5998, dtype: object]"
205,NEEDS_EXPERT,Å¡andalija,"[Age                                                        10830
Error                                                         50
Material                                                     NaN
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                      13.896
Lat                                                        44.89
LocAccuracy                                                    2
Period                                                       NaN
SiteID                                                       NaN
SiteName                                           Å¡andalija II
Country                                                  Croatia
Province                                                     NaN
Continent                                                 Europe
Source                                   Silva_VanderLinden_2017
Reference      Malez M. 1987  Arheoloska istrazivanja u Ilstr...
Region                                                   Unknown
Name: GRN-4976, dtype: object]"
206,Årstad,Ã…rstad,"[Age                4800
Error               130
Material       charcoal
Taxa                NaN
d13C                NaN
Method              NaN
Long            12.6286
Lat             56.8826
LocAccuracy           2
Period              NaN
SiteID              NaN
SiteName        Ã…rstad
Country          Sweden
Province            NaN
Continent        Europe
Source            RADON
Reference           NaN
Region          Unknown
Name: ST-3310, dtype: object]"
207,tervall,Ã…tervall,"[Age                     2365
Error                    120
Material       miscellaneous
Taxa                     NaN
d13C                     NaN
Method                   NaN
Long                 18.4679
Lat                  59.2735
LocAccuracy                2
Period                   NaN
SiteID                   NaN
SiteName           Ã…tervall
Country               Sweden
Province                 NaN
Continent             Europe
Source                 RADON
Reference                NaN
Region               Unknown
Name: ST-5702, dtype: object]"
208,NEEDS_EXPERT,àate≈æ,"[Age                               5804
Error                               30
Material                      charcoal
Taxa                               NaN
d13C                               NaN
Method                             NaN
Long                            15.612
Lat                             45.885
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName           àate≈æ-Sredno polje
Country                       Slovenia
Province                           NaN
Continent                       Europe
Source         Silva_VanderLinden_2017
Reference                   Sraka 2012
Region                         Unknown
Name: KIA-17846, dtype: object]"
209,NEEDS_EXPERT,’Awweš,"[Age                                                          710
Error                                                         30
Material                                                    BONE
Taxa                                                    collagen
d13C                                                         NaN
Method                                                       AMS
Long                                                    -121.695
Lat                                                      37.2318
LocAccuracy                                                    1
Period                                                       NaN
SiteID                                                CA-SCL-950
SiteName       Cashrishmini ’Awweš ’Írek ’Innutka (Yellow Sal...
Country                                                      USA
Province                                              California
Continent                                          North America
Source                                                  UWyo2021
Reference      Leventhal et al. 2017- Report on the Burial an...
Region                                                   Unknown
Name: ICA-16B1001, dtype: object]"
210,NEEDS_EXPERT,’Írek,"[Age                                                          710
Error                                                         30
Material                                                    BONE
Taxa                                                    collagen
d13C                                                         NaN
Method                                                       AMS
Long                                                    -121.695
Lat                                                      37.2318
LocAccuracy                                                    1
Period                                                       NaN
SiteID                                                CA-SCL-950
SiteName       Cashrishmini ’Awweš ’Írek ’Innutka (Yellow Sal...
Country                                                      USA
Province                                              California
Continent                                          North America
Source                                                  UWyo2021
Reference      Leventhal et al. 2017- Report on the Burial an...
Region                                                   Unknown
Name: ICA-16B1001, dtype: object]"
211,NEEDS_EXPERT,’Innutka,"[Age                                                          710
Error                                                         30
Material                                                    BONE
Taxa                                                    collagen
d13C                                                         NaN
Method                                                       AMS
Long                                                    -121.695
Lat                                                      37.2318
LocAccuracy                                                    1
Period                                                       NaN
SiteID                                                CA-SCL-950
SiteName       Cashrishmini ’Awweš ’Írek ’Innutka (Yellow Sal...
Country                                                      USA
Province                                              California
Continent                                          North America
Source                                                  UWyo2021
Reference      Leventhal et al. 2017- Report on the Burial an...
Region                                                   Unknown
Name: ICA-16B1001, dtype: object]"
212,NEEDS_EXPERT,‚Äì,"[Age                                     5350
Error                                     40
Material                            charcoal
Taxa                                     NaN
d13C                                     NaN
Method                                   NaN
Long                                   18.35
Lat                                    45.31
LocAccuracy                                2
Period                                   NaN
SiteID                                   NaN
SiteName       àakovaàki Selci ‚Äì Pajtenica
Country                              Croatia
Province                                 NaN
Continent                             Europe
Source               Silva_VanderLinden_2017
Reference                         Balen 2008
Region                               Unknown
Name: BETA-227927, dtype: object, Age                                     5450
Error                                     40
Material                            charcoal
Taxa                                     NaN
d13C                                     NaN
Method                                   NaN
Long                                   18.35
Lat                                    45.31
LocAccuracy                                2
Period                                   NaN
SiteID                                   NaN
SiteName       àakovaàki Selci ‚Äì Pajtenica
Country                              Croatia
Province                                 NaN
Continent                             Europe
Source               Silva_VanderLinden_2017
Reference                         Balen 2008
Region                               Unknown
Name: BETA-227930, dtype: object, Age                                     5330
Error                                     40
Material                            charcoal
Taxa                                     NaN
d13C                                     NaN
Method                                   NaN
Long                                   18.35
Lat                                    45.31
LocAccuracy                                2
Period                                   NaN
SiteID                                   NaN
SiteName       àakovaàki Selci ‚Äì Pajtenica
Country                              Croatia
Province                                 NaN
Continent                             Europe
Source               Silva_VanderLinden_2017
Reference                         Balen 2008
Region                               Unknown
Name: BETA-227933, dtype: object, Age                                     5210
Error                                     40
Material                            charcoal
Taxa                                     NaN
d13C                                     NaN
Method                                   NaN
Long                                   18.35
Lat                                    45.31
LocAccuracy                                2
Period                                   NaN
SiteID                                   NaN
SiteName       àakovaàki Selci ‚Äì Pajtenica
Country                              Croatia
Province                                 NaN
Continent                             Europe
Source               Silva_VanderLinden_2017
Reference                         Balen 2008
Region                               Unknown
Name: BETA-227935, dtype: object, Age                                     5220
Error                                     40
Material                            charcoal
Taxa                                     NaN
d13C                                     NaN
Method                                   NaN
Long                                   18.35
Lat                                    45.31
LocAccuracy                                2
Period                                   NaN
SiteID                                   NaN
SiteName       àakovaàki Selci ‚Äì Pajtenica
Country                              Croatia
Province                                 NaN
Continent                             Europe
Source               Silva_VanderLinden_2017
Reference                         Balen 2008
Region                               Unknown
Name: BETA-227937, dtype: object, Age                               5400
Error                               40
Material                      charcoal
Taxa                               NaN
d13C                               NaN
Method                             NaN
Long                             18.41
Lat                              45.38
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName         Toma≈°anci ‚Äì Palaàa
Country                        Croatia
Province                           NaN
Continent                       Europe
Source         Silva_VanderLinden_2017
Reference                   Balen 2008
Region                         Unknown
Name: BETA-252269, dtype: object, Age                               5360
Error                               50
Material                      charcoal
Taxa                               NaN
d13C                               NaN
Method                             NaN
Long                             18.41
Lat                              45.38
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName         Toma≈°anci ‚Äì Palaàa
Country                        Croatia
Province                           NaN
Continent                       Europe
Source         Silva_VanderLinden_2017
Reference                   Balen 2008
Region                         Unknown
Name: BETA-252273, dtype: object, Age                               5420
Error                               40
Material                      charcoal
Taxa                               NaN
d13C                               NaN
Method                             NaN
Long                             18.41
Lat                              45.38
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName         Toma≈°anci ‚Äì Palaàa
Country                        Croatia
Province                           NaN
Continent                       Europe
Source         Silva_VanderLinden_2017
Reference                   Balen 2008
Region                         Unknown
Name: BETA-252277, dtype: object, Age                                                         6004
Error                                                         27
Material                                   charred plant remains
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                      18.207
Lat                                                       45.466
LocAccuracy                                                    2
Period                                                       NaN
SiteID                                                       NaN
SiteName                                  Podgoraà ‚Äì Ra≈æi≈°te
Country                                                  Croatia
Province                                                     NaN
Continent                                                 Europe
Source                                   Silva_VanderLinden_2017
Reference      D. Veres  / Quaternary International xxx (2017...
Region                                                   Unknown
Name: DEA-5159, dtype: object, Age                               6109
Error                               29
Material         charred plant remains
Taxa                               NaN
d13C                               NaN
Method                             NaN
Long                            18.207
Lat                             45.466
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName        Podgoraà ‚Äì Ra≈æi≈°te
Country                        Croatia
Province                           NaN
Continent                       Europe
Source         Silva_VanderLinden_2017
Reference        Markovià & Botià 2015
Region                         Unknown
Name: DEA-8338, dtype: object, Age                               6413
Error                               30
Material         charred plant remains
Taxa                               NaN
d13C                               NaN
Method                             NaN
Long                            18.207
Lat                             45.466
LocAccuracy                          2
Period                             NaN
SiteID                             NaN
SiteName        Podgoraà ‚Äì Ra≈æi≈°te
Country                        Croatia
Province                           NaN
Continent                       Europe
Source         Silva_VanderLinden_2017
Reference                  Raczky 2010
Region                         Unknown
Name: DEA-8339, dtype: object, Age                                        6593
Error                                        36
Material                                   bone
Taxa                                        NaN
d13C                                        NaN
Method                                      NaN
Long                                     18.622
Lat                                      44.518
LocAccuracy                                   3
Period                                      NaN
SiteID                                      NaN
SiteName       Gornja Tuzla ‚Äì Safetova Ba≈°àa
Country                  Bosnia and Herzegovina
Province                                    NaN
Continent                                Europe
Source                  Silva_VanderLinden_2017
Reference         Vander Linden et al. in press
Region                                  Unknown
Name: OXA-23296, dtype: object, Age                                        6165
Error                                        34
Material                                   bone
Taxa                                        NaN
d13C                                        NaN
Method                                      NaN
Long                                     18.622
Lat                                      44.518
LocAccuracy                                   3
Period                                      NaN
SiteID                                      NaN
SiteName       Gornja Tuzla ‚Äì Safetova Ba≈°àa
Country                  Bosnia and Herzegovina
Province                                    NaN
Continent                                Europe
Source                  Silva_VanderLinden_2017
Reference         Vander Linden et al. in press
Region                                  Unknown
Name: OXA-23297, dtype: object, Age                                        5827
Error                                        33
Material                                   bone
Taxa                                        NaN
d13C                                        NaN
Method                                      NaN
Long                                     18.622
Lat                                      44.518
LocAccuracy                                   3
Period                                      NaN
SiteID                                      NaN
SiteName       Gornja Tuzla ‚Äì Safetova Ba≈°àa
Country                  Bosnia and Herzegovina
Province                                    NaN
Continent                                Europe
Source                  Silva_VanderLinden_2017
Reference         Vander Linden et al. in press
Region                                  Unknown
Name: OXA-23298, dtype: object, Age                                                         5741
Error                                                         33
Material                                                    bone
Taxa                                                         NaN
d13C                                                         NaN
Method                                                       NaN
Long                                                      18.622
Lat                                                       44.518
LocAccuracy                                                    3
Period                                                       NaN
SiteID                                                       NaN
SiteName                        Gornja Tuzla ‚Äì Safetova Ba≈°àa
Country                                   Bosnia and Herzegovina
Province                                                     NaN
Continent                                                 Europe
Source                                   Silva_VanderLinden_2017
Reference      Bailey G.1997. Klithi; McDonald Institute for ...
Region                                                   Unknown
Name: OXA-23299, dtype: object, Age                                5975
Error                                15
Material                           bone
Taxa                                NaN
d13C                                NaN
Method                              NaN
Long                              15.78
Lat                               43.87
LocAccuracy                           2
Period                              NaN
SiteID                              NaN
SiteName       àista Mala ‚Äì Veli≈°tak
Country                         Croatia
Province                            NaN
Continent                        Europe
Source          Silva_VanderLinden_2017
Reference                  McClure 2014
Region                          Unknown
Name: PSU-3701UCIAMS78155, dtype: object, Age                                5920
Error                                15
Material                           bone
Taxa                                NaN
d13C                                NaN
Method                              NaN
Long                              15.78
Lat                               43.87
LocAccuracy                           2
Period                              NaN
SiteID                              NaN
SiteName       àista Mala ‚Äì Veli≈°tak
Country                         Croatia
Province                            NaN
Continent                        Europe
Source          Silva_VanderLinden_2017
Reference                  McClure 2014
Region                          Unknown
Name: PSU-3702UCIAMS78156, dtype: object, Age                                6045
Error                                25
Material                           bone
Taxa                                NaN
d13C                                NaN
Method                              NaN
Long                              15.78
Lat                               43.87
LocAccuracy                           2
Period                              NaN
SiteID                              NaN
SiteName       àista Mala ‚Äì Veli≈°tak
Country                         Croatia
Province                            NaN
Continent                        Europe
Source          Silva_VanderLinden_2017
Reference                  McClure 2014
Region                          Unknown
Name: PSU-5288UCIAMS116200, dtype: object, Age                                5935
Error                                20
Material                           bone
Taxa                                NaN
d13C                                NaN
Method                              NaN
Long                              15.78
Lat                               43.87
LocAccuracy                           2
Period                              NaN
SiteID                              NaN
SiteName       àista Mala ‚Äì Veli≈°tak
Country                         Croatia
Province                            NaN
Continent                        Europe
Source          Silva_VanderLinden_2017
Reference                  McClure 2014
Region                          Unknown
Name: PSU-5289UCIAMS116201, dtype: object, Age                                5945
Error                                20
Material                           bone
Taxa                                NaN
d13C                                NaN
Method                              NaN
Long                              15.78
Lat                               43.87
LocAccuracy                           2
Period                              NaN
SiteID                              NaN
SiteName       àista Mala ‚Äì Veli≈°tak
Country                         Croatia
Province                            NaN
Continent                        Europe
Source          Silva_VanderLinden_2017
Reference           Capriles et al 2019
Region                          Unknown
Name: PSU-5616UCIAMS127398, dtype: object]"
213,Bassin,“Bassin,"[Age                                         5000
Error                                         35
Material                                    bone
Taxa                                         NaN
d13C                                         NaN
Method                                       NaN
Long                                     -1.6253
Lat                                      49.6391
LocAccuracy                                    2
Period                                       NaN
SiteID                                       NaN
SiteName       Cherbourg “Bassin de subsistance”
Country                                   France
Province                                     NaN
Continent                                 Europe
Source                                  EUROEVOL
Reference                                    NaN
Region                                   Unknown
Name: LYON-4367OXA, dtype: object]"
214,At,“At,"[Age                                                      1390
Error                                                      25
Material                                                SHELL
Taxa                                 marine Olivella M1a bead
d13C                                                       -1
Method                                                    AMS
Long                                                 -121.695
Lat                                                   37.2318
LocAccuracy                                                 1
Period                                                    NaN
SiteID                                              CA-SCL-38
SiteName       Yukisma (“At the Oaks”) Site; Alms House Mound
Country                                                   USA
Province                                           California
Continent                                       North America
Source                                               UWyo2021
Reference                                       Groza R. 2002
Region                                                Unknown
Name: CAMS-80902, dtype: object, Age                                                      1225
Error                                                      40
Material                                                SHELL
Taxa                                 marine Olivella M2a bead
d13C                                                       -1
Method                                                    AMS
Long                                                 -121.695
Lat                                                   37.2318
LocAccuracy                                                 1
Period                                                    NaN
SiteID                                              CA-SCL-38
SiteName       Yukisma (“At the Oaks”) Site; Alms House Mound
Country                                                   USA
Province                                           California
Continent                                       North America
Source                                               UWyo2021
Reference                                       Groza R. 2002
Region                                                Unknown
Name: CAMS-80903, dtype: object]"
215,Butte,“Butte,"[Age                                4950
Error                               100
Material                       charcoal
Taxa                                NaN
d13C                                NaN
Method                              NaN
Long                          -0.034823
Lat                             48.7147
LocAccuracy                           2
Period                              NaN
SiteID                              NaN
SiteName       Sarceaux “Butte du Houx”
Country                          France
Province                            NaN
Continent                        Europe
Source                  EUROEVOL; RADON
Reference                           NaN
Region                          Unknown
Name: GIF-10190, dtype: object]"
216,Hotel,“Hotel,"[Age                                  5765
Error                                  50
Material                         charcoal
Taxa                                  NaN
d13C                                  NaN
Method                                NaN
Long                               -1.169
Lat                                49.142
LocAccuracy                             2
Period                                NaN
SiteID                                NaN
SiteName       Hébécrevon “Hotel Torquet”
Country                            France
Province                              NaN
Continent                          Europe
Source                           EUROEVOL
Reference                             NaN
Region                            Unknown
Name: LY-8831, dtype: object]"
